Element,MW,Formular,,,,,,,,,,,,,,,
Li,68.95,LiNO3,,,,,,,,,,,,,,,
Be,133.021982,Be(NO3)2,,,,,,,,,,,,,,,
Na,84.99467,NaNO3,,,,,,,,,,,,,,,
Mg,256.41,Mg(NO3)2 · 6 H2O,,,,,,,,,,,,,,,
Al,375.13,Al(NO3)3 · 9H2O,,,,,,,,,,,,,,,
K,101.1032 ,KNO3,,,,,,,,,,,,,,,
Ca,236.15,Ca (NO3)2 · 4H2O,,,,,,,,,,,,,,,
Sc,230.97,Sc(NO3)3·xH2O,,,,,,,,,,,,,,,
Ti,295.89,Ti(NO3)4,,,,,,,,,,,,,,,
Mn,287.04,Mn (NO3)2 · 6H2O,,,,,,,,,,,,,,,
Fe,404,Fe(NO 3) 3·9H 2O,,,,,,,,,,,,,,,
Co,291.03,Co (NO3)2.6H2O,,,,,,,,,,,,,,,
Ni,290.79,Ni (NO3)2 · 6 H2O,,,,,,,,,,,,,,,
Cu, 241.60,Cu (NO3)2 · 3 H2O,,,,,,,,,,,,,,,
Zn,297.4815,Zn (NO3)2.6H2O,,,,,,,,,,,,,,,
Sr,211.63,Sr (NO3)2,,,,,,,,,,,,,,,
Y,383.01,Y (NO3)3 · 6H2O,,,,,,,,,,,,,,,
Zr,429.32,H10N4O17Zr,,,,,,,,,,,,,,,
Nb,538.04,C10H5NbO20.xH20,,,,,,,,,,,,,,,
Mo,176.5514286,(NH4)6Mo7O24 · 4H2O,,,,,,,,,,,,,,,
Cr,400.15,Cr(NO3)3 · 9H2O,,,,,,,,,,,,,,,
Cs,194.91,CsNO3,,,,,,,,,,,,,,,
Ba,261.337,Ba(NO3)2,,,,,,,,,,,,,,,
La,433.01,La (NO3)3 · 6H2O,,,,,,,,,,,,,,,
Yb,449.13,Yb(NO3)3 · 5H2O,,,,,,,,,,,,,,,
Ce,434.22,Ce(NO3)3 · 6H2O,,,,,,,,,,,,,,,
Pr,435.01,Pr(NO3)3·6H2O,,,,,,,,,,,,,,,
Nd,438.35,Nd (NO3)3 · 6H2O,,,,,,,,,,,,,,,
Sm,444.47,Sm(NO3)3 · 6H2O,,,,,,,,,,,,,,,
Gd,451.36,Gd (NO3)3 · 6H2O,,,,,,,,,,,,,,,
Tb,435.02,Tb (NO 3) 3 · 5H 2 O,,,,,,,,,,,,,,,
Hf,435.02,Hf(NO3)4,,,,,,,,,,,,,,,
Ga,255.74,GaN3O9,,,,,,,,,,,,,,,
Pb,331.21,Pb (NO3)2,,,,,,,,,,,,,,,
Bi,485.07,Bi (NO3)3 · 5H2O,,,,,,,,,,,,,,,
Citric_acid,210.14,HOC(COOH)(CH2COOH)2 · H2O,,,,,,,,,,,,,,,
EDTA,292.24,(HO2CCH2)2NCH2CH2N(CH2CO2H)2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
